number  OP    bonus	function 	  src1		  src2		 result		zcv
1	d	0	NAND		11111111          11111111       eeeeeeee	0
2	0	0 	AND		ffff0000          0000ffff       00000000	4
3	1	0	OR		3113c398          088e4954       399fcbdc	0
4	2       0	ADD		ffffffff	  00000001	 00000000	6
5	6	0	SUB		7eda5023	  2ec36ae5	 5016e53e	2
6	7	6	SEQ		78563412	  78563412	 00000001	0
7	7	0	SLT		ffffffff	  00000001	 00000001	0
8	7	3	SGE		7fee3c5b	  71bcbbfa	 00000001	0
9	7	2	SLE		787207f7	  066926e8	 00000000	4
10	7	1	SGT		4760ee5a	  07c09267	 00000001	0
11	7	4	SNE		11111111	  11111111	 00000000	4

	
